"","CLAVE_MUNICIPIO","MUNICIPIO","CLAVE_ENTIDAD","id","x","lat","lon","nom_ent","estado_acronimo"
"1",1,"AGUASCALIENTES",1,"AGUASCALIENTES","1 1",21.81144,-102.2958,"AGUASCALIENTES","AS"
"2",2,"ASIENTOS",1,"ASIENTOS","1 2",22.12651,-102.04564,"AGUASCALIENTES","AS"
"3",3,"CALVILLO",1,"CALVILLO","1 3",21.90069,-102.7049,"AGUASCALIENTES","AS"
"4",4,"COSÍO",1,"COSÍO","1 4",22.36063,-102.29704,"AGUASCALIENTES","AS"
"5",5,"JESÚS MARÍA",1,"JESÚS MARÍA","1 5",21.93212,-102.44565,"AGUASCALIENTES","AS"
"6",6,"PABELLÓN DE ARTEAGA",1,"PABELLÓN DE ARTEAGA","1 6",22.10454,-102.30168,"AGUASCALIENTES","AS"
"7",7,"RINCÓN DE ROMOS",1,"RINCÓN DE ROMOS","1 7",22.26741,-102.34073,"AGUASCALIENTES","AS"
"8",8,"SAN JOSÉ DE GRACIA",1,"SAN JOSÉ DE GRACIA","1 8",22.14663,-102.52584,"AGUASCALIENTES","AS"
"9",9,"TEPEZALÁ",1,"TEPEZALÁ","1 9",22.23697,-102.19213,"AGUASCALIENTES","AS"
"10",10,"EL LLANO",1,"EL LLANO","1 10",21.92152,-102.0354,"AGUASCALIENTES","AS"
"11",11,"SAN FRANCISCO DE LOS ROMO",1,"SAN FRANCISCO DE LOS ROMO","1 11",22.03307,-102.22902,"AGUASCALIENTES","AS"
"12",999,"NO ESPECIFICADO",1,"NO ESPECIFICADO","1 999",NA,NA,"AGUASCALIENTES","AS"
"13",1,"ENSENADA",2,"ENSENADA","2 1",30.03617,-114.95854,"BAJA CALIFORNIA","BC"
"14",2,"MEXICALI",2,"MEXICALI","2 2",31.73902,-115.1641,"BAJA CALIFORNIA","BC"
"15",3,"TECATE",2,"TECATE","2 3",32.44089,-116.26898,"BAJA CALIFORNIA","BC"
"16",4,"TIJUANA",2,"TIJUANA","2 4",32.40406,-116.81983,"BAJA CALIFORNIA","BC"
"17",5,"PLAYAS DE ROSARITO",2,"PLAYAS DE ROSARITO","2 5",32.25294,-116.89074,"BAJA CALIFORNIA","BC"
"18",999,"NO ESPECIFICADO",2,"NO ESPECIFICADO","2 999",NA,NA,"BAJA CALIFORNIA","BC"
"19",1,"COMONDÚ",3,"COMONDÚ","3 1",25.49135,-111.82007,"BAJA CALIFORNIA SUR","BS"
"20",2,"MULEGÉ",3,"MULEGÉ","3 2",27.28608,-113.23073,"BAJA CALIFORNIA SUR","BS"
"21",3,"LA PAZ",3,"LA PAZ","3 3",24.19047,-110.66331,"BAJA CALIFORNIA SUR","BS"
"22",8,"LOS CABOS",3,"LOS CABOS","3 8",23.27661,-109.75328,"BAJA CALIFORNIA SUR","BS"
"23",9,"LORETO",3,"LORETO","3 9",25.95317,-111.44849,"BAJA CALIFORNIA SUR","BS"
"24",999,"NO ESPECIFICADO",3,"NO ESPECIFICADO","3 999",NA,NA,"BAJA CALIFORNIA SUR","BS"
"25",1,"CALKINÍ",4,"CALKINÍ","4 1",20.38439,-90.21803,"CAMPECHE","CC"
"26",2,"CAMPECHE",4,"CAMPECHE","4 2",19.61701,-90.26764,"CAMPECHE","CC"
"27",3,"CARMEN",4,"CARMEN","4 3",18.52404,-91.48323,"CAMPECHE","CC"
"28",4,"CHAMPOTÓN",4,"CHAMPOTÓN","4 4",19.13421,-90.49932,"CAMPECHE","CC"
"29",5,"HECELCHAKÁN",4,"HECELCHAKÁN","4 5",20.12444,-90.13542,"CAMPECHE","CC"
"30",6,"HOPELCHÉN",4,"HOPELCHÉN","4 6",19.47407,-89.60964,"CAMPECHE","CC"
"31",7,"PALIZADA",4,"PALIZADA","4 7",18.2736,-91.97387,"CAMPECHE","CC"
"32",8,"TENABO",4,"TENABO","4 8",19.96964,-90.23302,"CAMPECHE","CC"
"33",9,"ESCÁRCEGA",4,"ESCÁRCEGA","4 9",18.5506,-90.47435,"CAMPECHE","CC"
"34",10,"CALAKMUL",4,"CALAKMUL","4 10",18.40283,-89.66157,"CAMPECHE","CC"
"35",11,"CANDELARIA",4,"CANDELARIA","4 11",18.09904,-90.71656,"CAMPECHE","CC"
"36",999,"NO ESPECIFICADO",4,"NO ESPECIFICADO","4 999",NA,NA,"CAMPECHE","CC"
"37",1,"ABASOLO",5,"ABASOLO","5 1",27.12239,-101.24578,"COAHUILA DE ZARAGOZA","CL"
"38",2,"ACUÑA",5,"ACUÑA","5 2",29.4326,-102.01003,"COAHUILA DE ZARAGOZA","CL"
"39",3,"ALLENDE",5,"ALLENDE","5 3",28.27835,-100.916,"COAHUILA DE ZARAGOZA","CL"
"40",4,"ARTEAGA",5,"ARTEAGA","5 4",25.34136,-100.64237,"COAHUILA DE ZARAGOZA","CL"
"41",5,"CANDELA",5,"CANDELA","5 5",26.85245,-100.79925,"COAHUILA DE ZARAGOZA","CL"
"42",6,"CASTAÑOS",5,"CASTAÑOS","5 6",26.58624,-101.38693,"COAHUILA DE ZARAGOZA","CL"
"43",7,"CUATRO CIÉNEGAS",5,"CUATRO CIÉNEGAS","5 7",26.6991,-102.29898,"COAHUILA DE ZARAGOZA","CL"
"44",8,"ESCOBEDO",5,"ESCOBEDO","5 8",27.30607,-101.27959,"COAHUILA DE ZARAGOZA","CL"
"45",9,"FRANCISCO I. MADERO",5,"FRANCISCO I. MADERO","5 9",26.32015,-103.18086,"COAHUILA DE ZARAGOZA","CL"
"46",10,"FRONTERA",5,"FRONTERA","5 10",26.9477,-101.52827,"COAHUILA DE ZARAGOZA","CL"
"47",11,"GENERAL CEPEDA",5,"GENERAL CEPEDA","5 11",25.52169,-101.55104,"COAHUILA DE ZARAGOZA","CL"
"48",12,"GUERRERO",5,"GUERRERO","5 12",28.09741,-100.39379,"COAHUILA DE ZARAGOZA","CL"
"49",13,"HIDALGO",5,"HIDALGO","5 13",27.83932,-100.0505,"COAHUILA DE ZARAGOZA","CL"
"50",14,"JIMÉNEZ",5,"JIMÉNEZ","5 14",29.0027,-100.95126,"COAHUILA DE ZARAGOZA","CL"
"51",15,"JUÁREZ",5,"JUÁREZ","5 15",27.65655,-100.69338,"COAHUILA DE ZARAGOZA","CL"
"52",16,"LAMADRID",5,"LAMADRID","5 16",27.15055,-101.91372,"COAHUILA DE ZARAGOZA","CL"
"53",17,"MATAMOROS",5,"MATAMOROS","5 17",25.55982,-103.21506,"COAHUILA DE ZARAGOZA","CL"
"54",18,"MONCLOVA",5,"MONCLOVA","5 18",26.89686,-101.19439,"COAHUILA DE ZARAGOZA","CL"
"55",19,"MORELOS",5,"MORELOS","5 19",28.32775,-101.08335,"COAHUILA DE ZARAGOZA","CL"
"56",20,"MÚZQUIZ",5,"MÚZQUIZ","5 20",28.40302,-101.90047,"COAHUILA DE ZARAGOZA","CL"
"57",21,"NADADORES",5,"NADADORES","5 21",27.22773,-101.76543,"COAHUILA DE ZARAGOZA","CL"
"58",22,"NAVA",5,"NAVA","5 22",28.49644,-100.62049,"COAHUILA DE ZARAGOZA","CL"
"59",23,"OCAMPO",5,"OCAMPO","5 23",27.96562,-102.89289,"COAHUILA DE ZARAGOZA","CL"
"60",24,"PARRAS",5,"PARRAS","5 24",25.50387,-102.11467,"COAHUILA DE ZARAGOZA","CL"
"61",25,"PIEDRAS NEGRAS",5,"PIEDRAS NEGRAS","5 25",28.77982,-100.61447,"COAHUILA DE ZARAGOZA","CL"
"62",26,"PROGRESO",5,"PROGRESO","5 26",27.42142,-101.02148,"COAHUILA DE ZARAGOZA","CL"
"63",27,"RAMOS ARIZPE",5,"RAMOS ARIZPE","5 27",25.91375,-101.28207,"COAHUILA DE ZARAGOZA","CL"
"64",28,"SABINAS",5,"SABINAS","5 28",27.92287,-101.143,"COAHUILA DE ZARAGOZA","CL"
"65",29,"SACRAMENTO",5,"SACRAMENTO","5 29",26.93983,-101.75649,"COAHUILA DE ZARAGOZA","CL"
"66",30,"SALTILLO",5,"SALTILLO","5 30",25.02915,-101.12511,"COAHUILA DE ZARAGOZA","CL"
"67",31,"SAN BUENAVENTURA",5,"SAN BUENAVENTURA","5 31",27.84013,-101.96888,"COAHUILA DE ZARAGOZA","CL"
"68",32,"SAN JUAN DE SABINAS",5,"SAN JUAN DE SABINAS","5 32",28.06396,-101.38976,"COAHUILA DE ZARAGOZA","CL"
"69",33,"SAN PEDRO",5,"SAN PEDRO","5 33",26.08404,-102.718,"COAHUILA DE ZARAGOZA","CL"
"70",34,"SIERRA MOJADA",5,"SIERRA MOJADA","5 34",27.48177,-103.61011,"COAHUILA DE ZARAGOZA","CL"
"71",35,"TORREÓN",5,"TORREÓN","5 35",25.17008,-103.24892,"COAHUILA DE ZARAGOZA","CL"
"72",36,"VIESCA",5,"VIESCA","5 36",25.22187,-102.92497,"COAHUILA DE ZARAGOZA","CL"
"73",37,"VILLA UNIÓN",5,"VILLA UNIÓN","5 37",28.09739,-100.78031,"COAHUILA DE ZARAGOZA","CL"
"74",38,"ZARAGOZA",5,"ZARAGOZA","5 38",28.81197,-101.39501,"COAHUILA DE ZARAGOZA","CL"
"75",999,"NO ESPECIFICADO",5,"NO ESPECIFICADO","5 999",NA,NA,"COAHUILA DE ZARAGOZA","CL"
"76",1,"ARMERÍA",6,"ARMERÍA","6 1",19.00925,-103.99842,"COLIMA","CM"
"77",2,"COLIMA",6,"COLIMA","6 2",19.1161,-103.63267,"COLIMA","CM"
"78",3,"COMALA",6,"COMALA","6 3",19.39344,-103.76999,"COLIMA","CM"
"79",4,"COQUIMATLÁN",6,"COQUIMATLÁN","6 4",19.18813,-103.92075,"COLIMA","CM"
"80",5,"CUAUHTÉMOC",6,"CUAUHTÉMOC","6 5",19.32684,-103.5955,"COLIMA","CM"
"81",6,"IXTLAHUACÁN",6,"IXTLAHUACÁN","6 6",18.96761,-103.68135,"COLIMA","CM"
"82",7,"MANZANILLO",6,"MANZANILLO","6 7",19.1495,-104.30268,"COLIMA","CM"
"83",8,"MINATITLÁN",6,"MINATITLÁN","6 8",19.37209,-104.03106,"COLIMA","CM"
"84",9,"TECOMÁN",6,"TECOMÁN","6 9",18.86283,-105.04026,"COLIMA","CM"
"85",10,"VILLA DE ÁLVAREZ",6,"VILLA DE ÁLVAREZ","6 10",19.3096,-103.84443,"COLIMA","CM"
"86",999,"NO ESPECIFICADO",6,"NO ESPECIFICADO","6 999",NA,NA,"COLIMA","CM"
"87",1,"ACACOYAGUA",7,"ACACOYAGUA","7 1",15.41414,-92.68169,"CHIAPAS","CS"
"88",2,"ACALA",7,"ACALA","7 2",16.53775,-92.8409,"CHIAPAS","CS"
"89",3,"ACAPETAHUA",7,"ACAPETAHUA","7 3",15.23141,-92.77402,"CHIAPAS","CS"
"90",4,"ALTAMIRANO",7,"ALTAMIRANO","7 4",16.66188,-91.86257,"CHIAPAS","CS"
"91",5,"AMATÁN",7,"AMATÁN","7 5",17.38559,-92.85734,"CHIAPAS","CS"
"92",6,"AMATENANGO DE LA FRONTERA",7,"AMATENANGO DE LA FRONTERA","7 6",15.55684,-92.09716,"CHIAPAS","CS"
"93",7,"AMATENANGO DEL VALLE",7,"AMATENANGO DEL VALLE","7 7",16.51529,-92.39543,"CHIAPAS","CS"
"94",8,"ANGEL ALBINO CORZO",7,"ANGEL ALBINO CORZO","7 8",15.75815,-92.68045,"CHIAPAS","CS"
"95",9,"ARRIAGA",7,"ARRIAGA","7 9",16.24888,-93.93736,"CHIAPAS","CS"
"96",10,"BEJUCAL DE OCAMPO",7,"BEJUCAL DE OCAMPO","7 10",15.49176,-92.16129,"CHIAPAS","CS"
"97",11,"BELLA VISTA",7,"BELLA VISTA","7 11",15.61958,-92.24242,"CHIAPAS","CS"
"98",12,"BERRIOZÁBAL",7,"BERRIOZÁBAL","7 12",16.86661,-93.31907,"CHIAPAS","CS"
"99",13,"BOCHIL",7,"BOCHIL","7 13",17.01412,-92.95879,"CHIAPAS","CS"
"100",14,"EL BOSQUE",7,"EL BOSQUE","7 14",17.03175,-92.74129,"CHIAPAS","CS"
"101",15,"CACAHOATÁN",7,"CACAHOATÁN","7 15",15.08624,-92.16413,"CHIAPAS","CS"
"102",16,"CATAZAJÁ",7,"CATAZAJÁ","7 16",17.77987,-91.9976,"CHIAPAS","CS"
"103",17,"CINTALAPA",7,"CINTALAPA","7 17",16.71296,-93.86747,"CHIAPAS","CS"
"104",18,"COAPILLA",7,"COAPILLA","7 18",17.12057,-93.12608,"CHIAPAS","CS"
"105",19,"COMITÁN DE DOMÍNGUEZ",7,"COMITÁN DE DOMÍNGUEZ","7 19",16.29688,-92.17897,"CHIAPAS","CS"
"106",20,"LA CONCORDIA",7,"LA CONCORDIA","7 20",15.96089,-92.77124,"CHIAPAS","CS"
"107",21,"COPAINALÁ",7,"COPAINALÁ","7 21",17.09417,-93.25286,"CHIAPAS","CS"
"108",22,"CHALCHIHUITÁN",7,"CHALCHIHUITÁN","7 22",17.02127,-92.6118,"CHIAPAS","CS"
"109",23,"CHAMULA",7,"CHAMULA","7 23",16.81937,-92.68017,"CHIAPAS","CS"
"110",24,"CHANAL",7,"CHANAL","7 24",16.61153,-92.21697,"CHIAPAS","CS"
"111",25,"CHAPULTENANGO",7,"CHAPULTENANGO","7 25",17.3268,-93.13154,"CHIAPAS","CS"
"112",26,"CHENALHÓ",7,"CHENALHÓ","7 26",16.95016,-92.57044,"CHIAPAS","CS"
"113",27,"CHIAPA DE CORZO",7,"CHIAPA DE CORZO","7 27",16.59807,-92.97063,"CHIAPAS","CS"
"114",28,"CHIAPILLA",7,"CHIAPILLA","7 28",16.55397,-92.72594,"CHIAPAS","CS"
"115",29,"CHICOASÉN",7,"CHICOASÉN","7 29",16.99533,-93.11152,"CHIAPAS","CS"
"116",30,"CHICOMUSELO",7,"CHICOMUSELO","7 30",15.79903,-92.39129,"CHIAPAS","CS"
"117",31,"CHILÓN",7,"CHILÓN","7 31",17.10969,-92.03514,"CHIAPAS","CS"
"118",32,"ESCUINTLA",7,"ESCUINTLA","7 32",15.36443,-92.55817,"CHIAPAS","CS"
"119",33,"FRANCISCO LEÓN",7,"FRANCISCO LEÓN","7 33",17.29407,-93.27619,"CHIAPAS","CS"
"120",34,"FRONTERA COMALAPA",7,"FRONTERA COMALAPA","7 34",15.76265,-92.08777,"CHIAPAS","CS"
"121",35,"FRONTERA HIDALGO",7,"FRONTERA HIDALGO","7 35",14.75001,-92.2132,"CHIAPAS","CS"
"122",36,"LA GRANDEZA",7,"LA GRANDEZA","7 36",15.513,-92.2184,"CHIAPAS","CS"
"123",37,"HUEHUETÁN",7,"HUEHUETÁN","7 37",15.0094,-92.42377,"CHIAPAS","CS"
"124",38,"HUIXTÁN",7,"HUIXTÁN","7 38",16.69428,-92.39963,"CHIAPAS","CS"
"125",39,"HUITIUPÁN",7,"HUITIUPÁN","7 39",17.24317,-92.69493,"CHIAPAS","CS"
"126",40,"HUIXTLA",7,"HUIXTLA","7 40",15.09699,-92.54685,"CHIAPAS","CS"
"127",41,"LA INDEPENDENCIA",7,"LA INDEPENDENCIA","7 41",16.2047,-91.79579,"CHIAPAS","CS"
"128",42,"IXHUATÁN",7,"IXHUATÁN","7 42",17.29853,-92.97863,"CHIAPAS","CS"
"129",43,"IXTACOMITÁN",7,"IXTACOMITÁN","7 43",17.4214,-93.09902,"CHIAPAS","CS"
"130",44,"IXTAPA",7,"IXTAPA","7 44",16.81795,-92.897,"CHIAPAS","CS"
"131",45,"IXTAPANGAJOYA",7,"IXTAPANGAJOYA","7 45",17.46687,-92.97559,"CHIAPAS","CS"
"132",46,"JIQUIPILAS",7,"JIQUIPILAS","7 46",16.52274,-93.67208,"CHIAPAS","CS"
"133",47,"JITOTOL",7,"JITOTOL","7 47",17.08962,-92.87442,"CHIAPAS","CS"
"134",48,"JUÁREZ",7,"JUÁREZ","7 48",17.69945,-93.19334,"CHIAPAS","CS"
"135",49,"LARRÁINZAR",7,"LARRÁINZAR","7 49",16.92438,-92.77668,"CHIAPAS","CS"
"136",50,"LA LIBERTAD",7,"LA LIBERTAD","7 50",17.60664,-91.75107,"CHIAPAS","CS"
"137",51,"MAPASTEPEC",7,"MAPASTEPEC","7 51",15.46101,-92.89163,"CHIAPAS","CS"
"138",52,"LAS MARGARITAS",7,"LAS MARGARITAS","7 52",16.3856,-91.74028,"CHIAPAS","CS"
"139",53,"MAZAPA DE MADERO",7,"MAZAPA DE MADERO","7 53",15.37277,-92.18576,"CHIAPAS","CS"
"140",54,"MAZATÁN",7,"MAZATÁN","7 54",14.8806,-92.49755,"CHIAPAS","CS"
"141",55,"METAPA",7,"METAPA","7 55",14.82166,-92.2016,"CHIAPAS","CS"
"142",56,"MITONTIC",7,"MITONTIC","7 56",16.87481,-92.5631,"CHIAPAS","CS"
"143",57,"MOTOZINTLA",7,"MOTOZINTLA","7 57",15.31383,-92.33146,"CHIAPAS","CS"
"144",58,"NICOLÁS RUÍZ",7,"NICOLÁS RUÍZ","7 58",16.4382,-92.61005,"CHIAPAS","CS"
"145",59,"OCOSINGO",7,"OCOSINGO","7 59",16.70209,-91.3375,"CHIAPAS","CS"
"146",60,"OCOTEPEC",7,"OCOTEPEC","7 60",17.2208,-93.17388,"CHIAPAS","CS"
"147",61,"OCOZOCOAUTLA DE ESPINOSA",7,"OCOZOCOAUTLA DE ESPINOSA","7 61",16.8279,-93.49225,"CHIAPAS","CS"
"148",62,"OSTUACÁN",7,"OSTUACÁN","7 62",17.43236,-93.39966,"CHIAPAS","CS"
"149",63,"OSUMACINTA",7,"OSUMACINTA","7 63",16.89523,-93.0838,"CHIAPAS","CS"
"150",64,"OXCHUC",7,"OXCHUC","7 64",16.781,-92.27479,"CHIAPAS","CS"
"151",65,"PALENQUE",7,"PALENQUE","7 65",17.44408,-91.81266,"CHIAPAS","CS"
"152",66,"PANTELHÓ",7,"PANTELHÓ","7 66",17.0601,-92.46407,"CHIAPAS","CS"
"153",67,"PANTEPEC",7,"PANTEPEC","7 67",17.18919,-93.0569,"CHIAPAS","CS"
"154",68,"PICHUCALCO",7,"PICHUCALCO","7 68",17.53058,-93.19914,"CHIAPAS","CS"
"155",69,"PIJIJIAPAN",7,"PIJIJIAPAN","7 69",15.66956,-93.1924,"CHIAPAS","CS"
"156",70,"EL PORVENIR",7,"EL PORVENIR","7 70",15.43255,-92.26393,"CHIAPAS","CS"
"157",71,"VILLA COMALTITLÁN",7,"VILLA COMALTITLÁN","7 71",15.16542,-92.61957,"CHIAPAS","CS"
"158",72,"PUEBLO NUEVO SOLISTAHUACÁN",7,"PUEBLO NUEVO SOLISTAHUACÁN","7 72",17.21783,-92.88121,"CHIAPAS","CS"
"159",73,"RAYÓN",7,"RAYÓN","7 73",17.19222,-92.99658,"CHIAPAS","CS"
"160",74,"REFORMA",7,"REFORMA","7 74",17.86422,-93.22938,"CHIAPAS","CS"
"161",75,"LAS ROSAS",7,"LAS ROSAS","7 75",16.36531,-92.36473,"CHIAPAS","CS"
"162",76,"SABANILLA",7,"SABANILLA","7 76",17.31983,-92.61076,"CHIAPAS","CS"
"163",77,"SALTO DE AGUA",7,"SALTO DE AGUA","7 77",17.43762,-92.18714,"CHIAPAS","CS"
"164",78,"SAN CRISTÓBAL DE LAS CASAS",7,"SAN CRISTÓBAL DE LAS CASAS","7 78",16.6783,-92.58995,"CHIAPAS","CS"
"165",79,"SAN FERNANDO",7,"SAN FERNANDO","7 79",16.91313,-93.20968,"CHIAPAS","CS"
"166",80,"SILTEPEC",7,"SILTEPEC","7 80",15.54732,-92.45622,"CHIAPAS","CS"
"167",81,"SIMOJOVEL",7,"SIMOJOVEL","7 81",17.13892,-92.62502,"CHIAPAS","CS"
"168",82,"SITALÁ",7,"SITALÁ","7 82",17.03727,-92.34829,"CHIAPAS","CS"
"169",83,"SOCOLTENANGO",7,"SOCOLTENANGO","7 83",16.10643,-92.37595,"CHIAPAS","CS"
"170",84,"SOLOSUCHIAPA",7,"SOLOSUCHIAPA","7 84",17.38699,-93.00479,"CHIAPAS","CS"
"171",85,"SOYALÓ",7,"SOYALÓ","7 85",16.92597,-92.98867,"CHIAPAS","CS"
"172",86,"SUCHIAPA",7,"SUCHIAPA","7 86",16.58555,-93.13633,"CHIAPAS","CS"
"173",87,"SUCHIATE",7,"SUCHIATE","7 87",14.63938,-92.22712,"CHIAPAS","CS"
"174",88,"SUNUAPA",7,"SUNUAPA","7 88",17.48886,-93.25159,"CHIAPAS","CS"
"175",89,"TAPACHULA",7,"TAPACHULA","7 89",14.93397,-92.3048,"CHIAPAS","CS"
"176",90,"TAPALAPA",7,"TAPALAPA","7 90",17.22011,-93.11231,"CHIAPAS","CS"
"177",91,"TAPILULA",7,"TAPILULA","7 91",17.25097,-92.99728,"CHIAPAS","CS"
"178",92,"TECPATÁN",7,"TECPATÁN","7 92",17.19826,-93.5332,"CHIAPAS","CS"
"179",93,"TENEJAPA",7,"TENEJAPA","7 93",16.83319,-92.47201,"CHIAPAS","CS"
"180",94,"TEOPISCA",7,"TEOPISCA","7 94",16.5611,-92.50881,"CHIAPAS","CS"
"181",96,"TILA",7,"TILA","7 96",17.37919,-92.48583,"CHIAPAS","CS"
"182",97,"TONALÁ",7,"TONALÁ","7 97",15.99699,-93.69053,"CHIAPAS","CS"
"183",98,"TOTOLAPA",7,"TOTOLAPA","7 98",16.51516,-92.65996,"CHIAPAS","CS"
"184",99,"LA TRINITARIA",7,"LA TRINITARIA","7 99",16.02444,-91.8994,"CHIAPAS","CS"
"185",100,"TUMBALÁ",7,"TUMBALÁ","7 100",17.30079,-92.26963,"CHIAPAS","CS"
"186",101,"TUXTLA GUTIÉRREZ",7,"TUXTLA GUTIÉRREZ","7 101",16.73945,-93.13729,"CHIAPAS","CS"
"187",102,"TUXTLA CHICO",7,"TUXTLA CHICO","7 102",14.89411,-92.19868,"CHIAPAS","CS"
"188",103,"TUZANTÁN",7,"TUZANTÁN","7 103",15.14044,-92.41156,"CHIAPAS","CS"
"189",104,"TZIMOL",7,"TZIMOL","7 104",16.12408,-92.24644,"CHIAPAS","CS"
"190",105,"UNIÓN JUÁREZ",7,"UNIÓN JUÁREZ","7 105",15.05995,-92.10255,"CHIAPAS","CS"
"191",106,"VENUSTIANO CARRANZA",7,"VENUSTIANO CARRANZA","7 106",16.31731,-92.6079,"CHIAPAS","CS"
"192",107,"VILLA CORZO",7,"VILLA CORZO","7 107",16.11215,-93.19761,"CHIAPAS","CS"
"193",108,"VILLAFLORES",7,"VILLAFLORES","7 108",16.34614,-93.37519,"CHIAPAS","CS"
"194",109,"YAJALÓN",7,"YAJALÓN","7 109",17.18556,-92.32585,"CHIAPAS","CS"
"195",110,"SAN LUCAS",7,"SAN LUCAS","7 110",16.62247,-92.72378,"CHIAPAS","CS"
"196",111,"ZINACANTÁN",7,"ZINACANTÁN","7 111",16.72192,-92.78198,"CHIAPAS","CS"
"197",112,"SAN JUAN CANCUC",7,"SAN JUAN CANCUC","7 112",16.93016,-92.39167,"CHIAPAS","CS"
"198",113,"ALDAMA",7,"ALDAMA","7 113",16.92183,-92.69018,"CHIAPAS","CS"
"199",114,"BENEMÉRITO DE LAS AMÉRICAS",7,"BENEMÉRITO DE LAS AMÉRICAS","7 114",16.28184,-90.56251,"CHIAPAS","CS"
"200",115,"MARAVILLA TENEJAPA",7,"MARAVILLA TENEJAPA","7 115",16.19919,-91.24859,"CHIAPAS","CS"
"201",116,"MARQUÉS DE COMILLAS",7,"MARQUÉS DE COMILLAS","7 116",16.24635,-90.74342,"CHIAPAS","CS"
"202",117,"MONTECRISTO DE GUERRERO",7,"MONTECRISTO DE GUERRERO","7 117",15.67168,-92.66439,"CHIAPAS","CS"
"203",118,"SAN ANDRÉS DURAZNAL",7,"SAN ANDRÉS DURAZNAL","7 118",17.15401,-92.80309,"CHIAPAS","CS"
"204",119,"SANTIAGO EL PINAR",7,"SANTIAGO EL PINAR","7 119",16.94936,-92.72155,"CHIAPAS","CS"
"205",120,"CAPITÁN LUIS ÁNGEL VIDAL",7,"CAPITÁN LUIS ÁNGEL VIDAL","7 120",NA,NA,"CHIAPAS","CS"
"206",121,"RINCÓN CHAMULA SAN PEDRO",7,"RINCÓN CHAMULA SAN PEDRO","7 121",NA,NA,"CHIAPAS","CS"
"207",122,"EL PARRAL",7,"EL PARRAL","7 122",NA,NA,"CHIAPAS","CS"
"208",123,"EMILIANO ZAPATA",7,"EMILIANO ZAPATA","7 123",NA,NA,"CHIAPAS","CS"
"209",124,"MEZCALAPA",7,"MEZCALAPA","7 124",NA,NA,"CHIAPAS","CS"
"210",999,"NO ESPECIFICADO",7,"NO ESPECIFICADO","7 999",NA,NA,"CHIAPAS","CS"
"211",1,"AHUMADA",8,"AHUMADA","8 1",30.44924,-106.38069,"CHIHUAHUA","CH"
"212",2,"ALDAMA",8,"ALDAMA","8 2",29.07329,-105.58857,"CHIHUAHUA","CH"
"213",3,"ALLENDE",8,"ALLENDE","8 3",27.09495,-105.30549,"CHIHUAHUA","CH"
"214",4,"AQUILES SERDÁN",8,"AQUILES SERDÁN","8 4",28.58223,-105.82346,"CHIHUAHUA","CH"
"215",5,"ASCENSIÓN",8,"ASCENSIÓN","8 5",31.33197,-107.51986,"CHIHUAHUA","CH"
"216",6,"BACHÍNIVA",8,"BACHÍNIVA","8 6",28.858,-107.29164,"CHIHUAHUA","CH"
"217",7,"BALLEZA",8,"BALLEZA","8 7",26.75306,-106.54294,"CHIHUAHUA","CH"
"218",8,"BATOPILAS DE MANUEL GÓMEZ MORÍN",8,"BATOPILAS DE MANUEL GÓMEZ MORÍN","8 8",26.94545,-107.6933,"CHIHUAHUA","CH"
"219",9,"BOCOYNA",8,"BOCOYNA","8 9",27.80784,-107.58012,"CHIHUAHUA","CH"
"220",10,"BUENAVENTURA",8,"BUENAVENTURA","8 10",30.05814,-107.1214,"CHIHUAHUA","CH"
"221",11,"CAMARGO",8,"CAMARGO","8 11",28.0337,-104.42366,"CHIHUAHUA","CH"
"222",12,"CARICHÍ",8,"CARICHÍ","8 12",27.81015,-107.06325,"CHIHUAHUA","CH"
"223",13,"CASAS GRANDES",8,"CASAS GRANDES","8 13",30.19392,-108.20229,"CHIHUAHUA","CH"
"224",14,"CORONADO",8,"CORONADO","8 14",26.63394,-105.06996,"CHIHUAHUA","CH"
"225",15,"COYAME DEL SOTOL",8,"COYAME DEL SOTOL","8 15",29.75704,-105.20778,"CHIHUAHUA","CH"
"226",16,"LA CRUZ",8,"LA CRUZ","8 16",27.89765,-105.04486,"CHIHUAHUA","CH"
"227",17,"CUAUHTÉMOC",8,"CUAUHTÉMOC","8 17",28.72347,-106.94869,"CHIHUAHUA","CH"
"228",18,"CUSIHUIRIACHI",8,"CUSIHUIRIACHI","8 18",28.21163,-106.89693,"CHIHUAHUA","CH"
"229",19,"CHIHUAHUA",8,"CHIHUAHUA","8 19",29.00054,-106.23252,"CHIHUAHUA","CH"
"230",20,"CHÍNIPAS",8,"CHÍNIPAS","8 20",27.45596,-108.51637,"CHIHUAHUA","CH"
"231",21,"DELICIAS",8,"DELICIAS","8 21",28.11949,-105.49186,"CHIHUAHUA","CH"
"232",22,"DR. BELISARIO DOMÍNGUEZ",8,"DR. BELISARIO DOMÍNGUEZ","8 22",27.99997,-106.46115,"CHIHUAHUA","CH"
"233",23,"GALEANA",8,"GALEANA","8 23",30.16075,-107.64464,"CHIHUAHUA","CH"
"234",24,"SANTA ISABEL",8,"SANTA ISABEL","8 24",28.3212,-106.34955,"CHIHUAHUA","CH"
"235",25,"GÓMEZ FARÍAS",8,"GÓMEZ FARÍAS","8 25",29.33656,-107.73732,"CHIHUAHUA","CH"
"236",26,"GRAN MORELOS",8,"GRAN MORELOS","8 26",28.29879,-106.56942,"CHIHUAHUA","CH"
